,cast,genres,movie_id,original_title,overview
15,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']","['Adventure', 'Family', 'Fantasy']",2454,the chronicles of narnia: prince caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir."
16,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","['Science Fiction', 'Action', 'Adventure']",24428,the avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
17,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']","['Adventure', 'Action', 'Fantasy']",1865,pirates of the caribbean: on stranger tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past."
18,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']","['Action', 'Comedy', 'Science Fiction']",41154,men in black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind."
19,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']","['Action', 'Adventure', 'Fantasy']",122917,the hobbit: the battle of the five armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands."
20,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']","['Action', 'Adventure', 'Fantasy']",1930,the amazing spider-man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero."
21,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']","['Action', 'Adventure']",20662,robin hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey."
22,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']","['Adventure', 'Fantasy']",57158,the hobbit: the desolation of smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug."
23,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']","['Adventure', 'Fantasy']",2268,the golden compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny."
24,"['Naomi Watts', 'Jack Black', 'Adrien Brody']","['Adventure', 'Drama', 'Action']",254,king kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady."
25,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']","['Drama', 'Romance', 'Thriller']",597,titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."
26,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']","['Adventure', 'Action', 'Science Fiction']",271110,captain america: civil war,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies."
27,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']","['Thriller', 'Action', 'Adventure']",44833,battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him."
28,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']","['Action', 'Adventure', 'Science Fiction']",135397,jurassic world,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond."
29,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']","['Action', 'Adventure', 'Thriller']",37724,skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves."
30,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']","['Action', 'Adventure', 'Fantasy']",558,spider-man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood."
31,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']","['Action', 'Adventure', 'Science Fiction']",68721,iron man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
32,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']","['Family', 'Fantasy', 'Adventure']",12155,alice in wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne."
33,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']","['Adventure', 'Action', 'Science Fiction']",36668,x-men: the last stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto."
34,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']","['Animation', 'Family']",62211,monsters university,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
35,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']","['Science Fiction', 'Action', 'Adventure']",8373,transformers: revenge of the fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
36,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']","['Science Fiction', 'Action', 'Adventure']",91314,transformers: age of extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs."
37,"['James Franco', 'Mila Kunis', 'Rachel Weisz']","['Fantasy', 'Adventure', 'Family']",68728,oz: the great and powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil."
38,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']","['Action', 'Adventure', 'Fantasy']",102382,the amazing spider-man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past."
39,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']","['Adventure', 'Action', 'Science Fiction']",20526,tron: legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world."
40,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']","['Animation', 'Family', 'Adventure']",49013,cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
41,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']","['Adventure', 'Action', 'Thriller']",44912,green lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited."
42,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']","['Animation', 'Family', 'Comedy']",10193,toy story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy."
43,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']","['Action', 'Science Fiction', 'Thriller']",534,terminator salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe."
44,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",['Action'],168259,furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
45,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']","['Action', 'Drama', 'Horror']",72190,world war z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls."
46,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']","['Action', 'Adventure', 'Fantasy']",127585,x-men: days of future past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.
47,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']","['Action', 'Adventure', 'Science Fiction']",54138,star trek into darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew."
48,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']","['Action', 'Family', 'Fantasy']",81005,jack the giant slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself."
49,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']","['Drama', 'Romance']",64682,the great gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await."
50,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']","['Adventure', 'Fantasy', 'Action']",9543,prince of persia: the sands of time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world."
51,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']","['Action', 'Science Fiction', 'Adventure']",68726,pacific rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse."
52,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']","['Action', 'Science Fiction', 'Adventure']",38356,transformers: dark of the moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets."
53,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']","['Adventure', 'Action']",217,indiana jones and the kingdom of the crystal skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts."
54,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']","['Adventure', 'Animation', 'Family']",105864,the good dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.
55,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']","['Animation', 'Adventure', 'Comedy']",62177,brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall."
56,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']","['Action', 'Adventure', 'Science Fiction']",188927,star trek beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test."
57,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']","['Animation', 'Family']",10681,wall·e,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves."
58,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']","['Action', 'Comedy', 'Crime']",5174,rush hour 3,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother."
59,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']","['Action', 'Adventure', 'Science Fiction']",14161,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
60,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']","['Animation', 'Drama']",17979,a christmas carol,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
61,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']","['Science Fiction', 'Fantasy', 'Action']",76757,jupiter ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…"
62,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']","['Action', 'Adventure']",258489,the legend of tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
63,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes']","['Adventure', 'Family', 'Fantasy']",411,"the chronicles of narnia: the lion, the witch and the wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever."
64,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",['Science Fiction'],246655,x-men: apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
65,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']","['Drama', 'Action', 'Crime']",155,the dark knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
66,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']","['Animation', 'Comedy', 'Family']",14160,up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."
67,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']","['Animation', 'Family', 'Adventure']",15512,monsters vs aliens,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters..."
68,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']","['Action', 'Science Fiction', 'Adventure']",1726,iron man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
69,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']","['Adventure', 'Drama', 'Family']",44826,hugo,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past."
70,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']","['Action', 'Adventure', 'Comedy']",8487,wild wild west,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.
71,"['Brendan Fraser', 'Jet Li', 'John Hannah']","['Adventure', 'Action', 'Fantasy']",1735,the mummy: tomb of the dragon emperor,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power."
72,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']","['Action', 'Adventure', 'Crime']",297761,suicide squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences."
73,"['Steve Carell', 'Lauren Graham', 'John Goodman']","['Fantasy', 'Comedy', 'Family']",2698,evan almighty,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.
74,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']","['Action', 'Science Fiction']",137113,edge of tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop."
75,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']","['Adventure', 'Action']",9804,waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back."
76,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']","['Adventure', 'Action', 'Thriller']",14869,g.i. joe: the rise of cobra,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos."
